team_customer_relationship,team_communication,assumption,failed_documentation,role,industry,common_problem,country,team_size,project_distribution,work,project_method,meeting_frequency,user_feedback_frequency,external_partners,top2,top3,top4,top5,requirements_elicitation,elicitation_techniques,explicit_distinction,requirements_documentation,no_documentation_reasons,non_functional_requirements,communication_with_other_teams,doc_willing,doc_unwilling_but_produce,doc_dont_produce,requirements_testing_alignment
4,4,Ask the customer/end user/or both what should be assumed before proceeding.,Yes,Project Lead / Project Manager,Security,Communication flaws between the project and the customer,United Kingdom,4,No,Approximately half on-site and half from home,Hybrid,Almost daily,Monthly,No,Targets are moving,Underspecified requirements that are too abstract and allow for various interpretations,Unclear or unmeasurable non-functional requirements,Weak knowledge about customer's application domain,Agile: we elicit and / or refine requirements in several iterations.,Interviews/ Analysis of existing documents/ Prototyping/ Workshops and focus groups/ Design Thinking,Architectural constraints/ Goals/ Rules , business rules)/ System behaviour/ Technical interfaces/ Usage scenarios/ Acceptance criteria,I didn't need to document it. I know it.,Performance efficiency (e.g.- time behaviour- resource utilisation- capacity)/ Reliability (e.g.- availability- fault tolerance- maturity- recoverability)/ Security (e.g.- accountability- authenticity- confidentiality- integrity- non-repudiation)/ Usability (e.g.- accessibility- appropriateness recognizability- learnability- operability- user error protection- UI aesthetics),3,Agree,,0,We check the coverage of requirements with tests/ We define acceptance criteria and tests for requirements
2,2,Ask the customer/end user/or both what should be assumed before proceeding.,Yes,Other (please specify),Finance,Inconsistent requirements,Turkey,6,Yes,Mostly from home,Agile,Almost daily,Monthly,Yes,Lack of communication between project team and end users,Insufficient support by project lead,Weak knowledge about customer's application domain,We do not have enough time to carry out tasks,Agile: we elicit and / or refine requirements in several iterations.,Interviews/ Analysis of existing documents/ Workshops and focus groups/ Design Thinking/ Experimentation with users,Architectural constraints/ Development process aspects/ System behaviour/ Technical interfaces/ Usage scenarios/ User interface(s)/ Acceptance criteria,Natural language / plain text/ Prototypes / user screens/ Use case diagrams/ Use cases,My project lead told me not to waste any (more) time on documentation.,Reliability (e.g.- availability- fault tolerance- maturity- recoverability)/ Safety (e.g.- freedom of risk for health or disaster)/ Security (e.g.- accountability- authenticity- confidentiality- integrity- non-repudiation),1,Neutral,Neutral,Disagree,We check the coverage of requirements with tests
4,5,Make a reasonable assumption myself and proceed.,Yes,Developer,Public transportation,We do not have enough time to carry out tasks,Germany,20,No,Mostly from home,Hybrid,Almost daily,Almost daily,No,Targets are moving,Gold plating (implementation of features without corresponding requirements),Changes in requirements not communicated,Underspecified requirements that are too abstract and allow for various interpretations,Agile: we elicit and / or refine requirements in several iterations.,Analysis of existing documents/ Prototyping/ Observations/ Usage data analysis (e.g. event logs)/ Experimentation with users,Functional properties of the system/ Goals/ Usage scenarios/ User interface(s),Class diagrams/ Natural language / plain text/ User stories/ Informal sketches / wireframes / mind maps,I didn't need to document it. I know it.,,2,Agree,Strongly agree,Disagree,We derive tests from system models/ We do not align tests and requirements
4,2,Make a reasonable assumption myself and proceed.,Yes,Developer,Manufacturing,Communication flaws within the project team,Germany,8,No,Approximately half on-site and half from home,Hybrid,Almost daily,Monthly,No,Incomplete or hidden requirements,Weak knowledge about customer's application domain,Unclear or unmeasurable non-functional requirements,No use of standard format for documenting requirements,Agile: we elicit and / or refine requirements in several iterations.,Interviews/ Analysis of existing documents/ Design Thinking,Development process aspects/ Goals/ Usage scenarios/ Internal or external constraints  laws),Natural language / plain text/ Informal sketches / wireframes / mind maps,My project lead told me not to bother.,Compatibility (e.g.- co-existence- interoperability)/ Portability (e.g.- adaptability- installability- replaceability)/ Usability (e.g.- accessibility- appropriateness recognizability- learnability- operability- user error protection- UI aesthetics)/ External or internal constraints (e.g.- laws),4,Strongly agree,Agree,Disagree,Other (please specify)
5,5,Make a reasonable assumption myself and proceed.,I do not document requirements.,Product Owner,Finance,Communication flaws within the project team,Spain,13,Yes,Approximately half on-site and half from home,Agile,Almost daily,Monthly,Yes,Communication flaws between the project and the customer,Lack of communication between project team and end users,Changes in requirements not communicated,Requirements are not traceable,Agile: we elicit and / or refine requirements in several iterations.,Workshops and focus groups,Architectural constraints/ Development process aspects/ Functional properties of the system/ Goals/ Quality properties of the system/ Rules , business rules)/ Technical interfaces/ Usage scenarios/ User interface(s)/ Internal or external constraints (e.g. laws)/ Acceptance criteria,,Compatibility (e.g.- co-existence- interoperability)/ Security (e.g.- accountability- authenticity- confidentiality- integrity- non-repudiation)/ Usability (e.g.- accessibility- appropriateness recognizability- learnability- operability- user error protection- UI aesthetics)/ External or internal constraints (e.g.- laws),2,Neutral,Neutral,Disagree,Testers participate in requirements reviews/ We check the coverage of requirements with tests/ We derive tests from system models
3,5,Make a reasonable assumption myself and proceed.,Yes,Developer,Healthcare,Technically unfeasible requirements,Spain,8,Yes,Approximately half on-site and half from home,Rather plan-driven,Weekly,Never,Yes,Internal or external constraints are not considered,Our team's responsibilities are unclear,Changes in requirements not communicated,Requirements are not traceable,Waterfall: we elicit and / or refine requirements in a specifically dedicated project phase before proceeding to the next project phase.,Risk analyses/ Prototyping/ (Requirements) Reuse databases and guidelines/ Usage data analysis (e.g. event logs)/ Experimentation with users,Formal properties of the system/ Functional properties of the system/ System behaviour/ Usage scenarios/ Internal or external constraints  laws)/ Acceptance criteria,Activity diagrams/ Structured lists of requirements/ Use case diagrams,,Maintainability (e.g.- analysability- modularity- modifiability- reusability- testability)/ Performance efficiency (e.g.- time behaviour- resource utilisation- capacity)/ Reliability (e.g.- availability- fault tolerance- maturity- recoverability)/ Safety (e.g.- freedom of risk for health or disaster)/ Security (e.g.- accountability- authenticity- confidentiality- integrity- non-repudiation)/ Usability (e.g.- accessibility- appropriateness recognizability- learnability- operability- user error protection- UI aesthetics)/ External or internal constraints (e.g.- laws),2,Agree,Agree,Disagree,Testers participate in requirements reviews/ We check the coverage of requirements with tests/ We define acceptance criteria and tests for requirements
2,2,Ask the customer/end user/or both what should be assumed before proceeding.,Yes,Architect,e-Government,Weak knowledge about customer's application domain,Switzerland,15,Yes,Mostly on-site,Plan-driven,Weekly,Monthly,Yes,Internal or external constraints are not considered,Underspecified requirements that are too abstract and allow for various interpretations,Unclear or unmeasurable non-functional requirements,Changes in requirements not communicated,Agile: we elicit and / or refine requirements in several iterations.,Interviews/ Analysis of existing documents/ Prototyping/ External experts,Architectural constraints/ Development process aspects/ Formal properties of the system/ Functional properties of the system/ Goals/ Quality properties of the system/ Stakeholders/ Technical interfaces/ User interface(s)/ Internal or external constraints  laws),Activity diagrams/ Business process models/ Class diagrams/ Prototypes / user screens/ Sequence diagrams/ State machines/ Use case diagrams/ User stories/ Informal sketches / wireframes / mind maps,My project lead told me not to waste any (more) time on documentation./ My colleagues told me not to waste any (more) time on documentation.,Maintainability (e.g.- analysability- modularity- modifiability- reusability- testability)/ Performance efficiency (e.g.- time behaviour- resource utilisation- capacity)/ Reliability (e.g.- availability- fault tolerance- maturity- recoverability)/ Security (e.g.- accountability- authenticity- confidentiality- integrity- non-repudiation)/ Usability (e.g.- accessibility- appropriateness recognizability- learnability- operability- user error protection- UI aesthetics),1,Agree,Agree,Disagree,Testers participate in requirements reviews/ We check the coverage of requirements with tests/ We define acceptance criteria and tests for requirements
5,4,Make a reasonable assumption myself and proceed.,Yes,Developer,Energy,Weak access to customer needs and / or (internal) business information,Turkey,12,Yes,Approximately half on-site and half from home,Rather plan-driven,Almost daily,Bi-weekly,Yes,Lack of communication between project team and end users,Inconsistent requirements,Communication channels used in our project are ineffective,Targets are moving,Waterfall: we elicit and / or refine requirements in a specifically dedicated project phase before proceeding to the next project phase.,Interviews/ Analysis of existing documents/ Risk analyses/ Prototyping/ Workshops and focus groups/ Design Thinking/ External experts/ Observations,Architectural constraints/ Development process aspects/ Formal properties of the system/ Functional properties of the system/ Goals/ Technical interfaces,Activity diagrams/ Business process models/ Prototypes / user screens/ Sequence diagrams/ Structured lists of requirements,My colleagues told me not to spend any time on documentation./ My colleagues told me not to waste any (more) time on documentation.,Compatibility (e.g.- co-existence- interoperability)/ Maintainability (e.g.- analysability- modularity- modifiability- reusability- testability)/ Performance efficiency (e.g.- time behaviour- resource utilisation- capacity)/ Reliability (e.g.- availability- fault tolerance- maturity- recoverability)/ Safety (e.g.- freedom of risk for health or disaster)/ Security (e.g.- accountability- authenticity- confidentiality- integrity- non-repudiation),4,Agree,Agree,Strongly disagree,Testers participate in requirements reviews/ We check the coverage of requirements with tests/ We define acceptance criteria and tests for requirements/ We derive tests from system models
4,4,Ask the customer/end user/or both what should be assumed before proceeding.,No,Developer,Security,Targets are moving,United Kingdom,2,No,Approximately half on-site and half from home,Rather agile,Almost daily,Other (please specify),No,An important stakeholder is not represented in our project,No use of standard format for documenting requirements,Underspecified requirements that are too abstract and allow for various interpretations,Incomplete or hidden requirements,Agile: we elicit and / or refine requirements in several iterations.,Analysis of existing documents/ Risk analyses/ Prototyping/ Workshops and focus groups/ Design Thinking/ Observations/ Usage data analysis (e.g. event logs),Architectural constraints/ Development process aspects/ Functional properties of the system/ Rules , business rules)/ System behaviour/ Usage scenarios/ User interface(s),I didn't need to document it. I know it.,Compatibility (e.g.- co-existence- interoperability)/ Maintainability (e.g.- analysability- modularity- modifiability- reusability- testability)/ Performance efficiency (e.g.- time behaviour- resource utilisation- capacity)/ Reliability (e.g.- availability- fault tolerance- maturity- recoverability)/ Security (e.g.- accountability- authenticity- confidentiality- integrity- non-repudiation)/ External or internal constraints (e.g.- laws),4,Agree,Strongly agree,Disagree,Testers participate in requirements reviews/ We check the coverage of requirements with tests
4,4,Ask the customer/end user/or both what should be assumed before proceeding.,Yes,Test Manager / Tester,Finance,Communication flaws within the project team,Netherlands,7,Yes,Almost completely from home,Agile,Almost daily,Weekly,Yes,Communication flaws between the project and the customer,Lack of communication between project team and end users,Communication channels used in our project are ineffective,Changes in requirements not communicated,Agile: we elicit and / or refine requirements in several iterations.,Analysis of existing documents/ Other,Functional properties of the system/ Quality properties of the system/ Rules , business rules)/ System behaviour/ Usage scenarios/ User interface(s)/ Internal or external constraints (e.g. laws)/ Acceptance criteria,My project lead told me not to spend any time on documentation.,Usability (e.g.- accessibility- appropriateness recognizability- learnability- operability- user error protection- UI aesthetics)/ External or internal constraints (e.g.- laws),4,Disagree,Neutral,Neutral,Testers participate in requirements reviews/ We check the coverage of requirements with tests/ We define acceptance criteria and tests for requirements/ We derive tests from system models
4,4,Ask the customer/end user/or both what should be assumed before proceeding.,Yes,Project Lead / Project Manager,Insurance,Targets are moving,United Kingdom,2,Yes,Mostly from home,Hybrid,Almost daily,Weekly,Yes,Underspecified requirements that are too abstract and allow for various interpretations,Weak knowledge about customer's application domain,Lack of communication between project team and end users,Incomplete or hidden requirements,Agile: we elicit and / or refine requirements in several iterations.,Analysis of existing documents/ Prototyping/ Workshops and focus groups,Architectural constraints/ Formal properties of the system/ Functional properties of the system/ Rules , business rules)/ System behaviour/ Technical interfaces/ Acceptance criteria,I didn't need to document it. I know it.,Maintainability (e.g.- analysability- modularity- modifiability- reusability- testability)/ Performance efficiency (e.g.- time behaviour- resource utilisation- capacity)/ Reliability (e.g.- availability- fault tolerance- maturity- recoverability)/ Security (e.g.- accountability- authenticity- confidentiality- integrity- non-repudiation),4,Neutral,Agree,Disagree,We check the coverage of requirements with tests/ We define acceptance criteria and tests for requirements
4,5,Ask the customer/end user/or both what should be assumed before proceeding.,Yes,Developer,Other (please specify),Communication flaws between the project and the customer,Spain,12,Yes,Approximately half on-site and half from home,Hybrid,Weekly,Weekly,Yes,Communication channels used in our project are ineffective,Incomplete or hidden requirements,Insufficient support by project lead,Requirements are not traceable,Waterfall: we elicit and / or refine requirements in a specifically dedicated project phase before proceeding to the next project phase.,Analysis of existing documents/ Workshops and focus groups/ Design Thinking/ Experimentation with users,Functional properties of the system/ Quality properties of the system/ Technical interfaces/ Acceptance criteria,Business process models/ Class diagrams/ Structured lists of requirements,My project lead told me not to bother.,Maintainability (e.g.- analysability- modularity- modifiability- reusability- testability)/ Performance efficiency (e.g.- time behaviour- resource utilisation- capacity)/ Security (e.g.- accountability- authenticity- confidentiality- integrity- non-repudiation)/ Usability (e.g.- accessibility- appropriateness recognizability- learnability- operability- user error protection- UI aesthetics),4,Neutral,Agree,Disagree,Testers participate in requirements reviews/ We define acceptance criteria and tests for requirements
4,4,Make a reasonable assumption myself and proceed.,Yes,Developer,Finance,Inconsistent requirements,United States,16,Yes,Almost completely from home,Hybrid,Almost daily,Weekly,Yes,Insufficient support by project lead,Changes in requirements not communicated,Targets are moving,We do not have enough time to carry out tasks,Agile: we elicit and / or refine requirements in several iterations.,Interviews/ Analysis of existing documents/ Prototyping/ Workshops and focus groups/ External experts/ Observations/ Usage data analysis (e.g. event logs),Architectural constraints/ Functional properties of the system/ Goals/ Rules , business rules)/ Stakeholders/ Technical interfaces/ Internal or external constraints (e.g. laws),I didn't need to document it. I know it./ My project lead told me not to bother./ My colleagues told me not to bother.,Compatibility (e.g.- co-existence- interoperability)/ Performance efficiency (e.g.- time behaviour- resource utilisation- capacity)/ Reliability (e.g.- availability- fault tolerance- maturity- recoverability)/ Usability (e.g.- accessibility- appropriateness recognizability- learnability- operability- user error protection- UI aesthetics),4,Strongly agree,Disagree,Agree,We check the coverage of requirements with tests/ We derive tests from system models/ We do not align tests and requirements
4,4,Ask the customer/end user/or both what should be assumed before proceeding.,I do not document requirements.,Developer,Other (please specify),Incomplete or hidden requirements,Turkey,51,No,Almost completely from home,Rather agile,Almost daily,I don't know,No,Unclear or unmeasurable non-functional requirements,Weak access to customer needs and / or (internal) business information,No use of standard format for documenting requirements,Gold plating (implementation of features without corresponding requirements),Agile: we elicit and / or refine requirements in several iterations.,Interviews/ Prototyping/ (Requirements) Reuse databases and guidelines/ Design Thinking/ Observations,Architectural constraints/ Formal properties of the system/ Functional properties of the system/ Goals/ Quality properties of the system/ Rules , business rules)/ System behaviour/ Technical interfaces/ Usage scenarios/ Acceptance criteria,My colleagues told me not to waste any (more) time on documentation.,Maintainability (e.g.- analysability- modularity- modifiability- reusability- testability)/ Security (e.g.- accountability- authenticity- confidentiality- integrity- non-repudiation)/ External or internal constraints (e.g.- laws),3,Strongly agree,Neutral,Strongly disagree,Testers participate in requirements reviews/ We check the coverage of requirements with tests/ We define acceptance criteria and tests for requirements
1,1,Make a reasonable assumption myself and proceed,No,Developer,Aerospace,Gold plating (implementation of features without clear value),Argentina,45,Yes,Approximately half on-site and half from home,Agile,Almost daily,Almost daily,Yes,Inconsistent requirements,Changes in requirements not communicated,"Targets are moving (changing goals, business priorities)",No use of standard format for documenting requirements,Agile: we elicit and/or refine requirements in several iterations.,Risk analyses / Observations,"Rules (e.g., business rules) / Usage scenarios",Activity diagrams,My project lead told me not to bother. / My colleagues told me not to waste any (more) time on documentation.,"Security (e.g., accountability, authenticity, confidentiality, integrity, non-repudiation) / Usability (e.g., accessibility, appropriateness recognizability, learnability, operability, user error protection, UI aesthetics)",1,Strongly disagree,Strongly disagree,Strongly disagree,We check the coverage of requirements with tests
